,ano,mes,Coquimbo,Valparaiso,Metropolitana_de_Santiago,Libertador_Gral__Bernardo_O_Higgins,Maule,Biobio,La_Araucania,Los_Rios,PIB_Agropecuario_silvicola,PIB_Pesca,PIB_Mineria,PIB_Mineria_del_cobre,PIB_Otras_actividades_mineras,PIB_Industria_Manufacturera,PIB_Alimentos,PIB_Bebidas_y_tabaco,PIB_Textil,PIB_Maderas_y_muebles,PIB_Celulosa,PIB_Refinacion_de_petroleo,PIB_Quimica,PIB_Minerales_no_metalicos_y_metalica_basica,PIB_Productos_metalicos,PIB_Electricidad,PIB_Construccion,PIB_Comercio,PIB_Restaurantes_y_hoteles,PIB_Transporte,PIB_Comunicaciones,PIB_Servicios_financieros,PIB_Servicios_empresariales,PIB_Servicios_de_vivienda,PIB_Servicios_personales,PIB_Administracion_publica,PIB_a_costo_de_factores,PIB,Imacec_empalmado,Imacec_produccion_de_bienes,Imacec_minero,Imacec_industria,Imacec_resto_de_bienes,Imacec_comercio,Imacec_servicios,Imacec_a_costo_de_factores,Imacec_no_minero,num
0,2014,1,3.52467320647237,2.37876622956972,7.27827181044541,4.80475968850213,7.83152246846819,33.6840026451552,96.7079664188219,130.212945686754,55059326,449097098,123408811,110892244,125165676,125915256,323829181,160131672,271608802,613149007,111186684,107176547,197004194,6795359,203394915,309290133,635812268,10768256,220170996,539108727,364948817,603426797,126672311,85785202,787099521,522480077,102724817,112152352,97.6,101.54,97.7,98.5,107.47,103.244,93.851,97.687,97.5,94.3
1,2014,2,1.68885621159928,8.38985389594424,17.8030704519486,7.29517829805728,3.01593177929248,22.1861968265569,43.1574105715261,65.22801037229,589162366,530628153,118979099,107686125,112929737,117324454,326848287,151002582,24777101,58489291,985263519,987746023,169050011,637721806,182004135,276725914,621419201,106567859,21519997,530525285,329424874,602969763,116462931,829465384,690060504,523184092,985454361,107497828,93.5,98.2,94.2,91.8,107.454,102.175,88.8,93.71,93.4,92.8
2,2014,3,2.23720261467365,5.08209415435392,5.40308725090085,15.0252093448195,31.2800166809222,78.8543882826541,128.113099669829,172.223449588746,53363658,107007804,127819883,115400625,124192583,134314265,397250136,156581527,291436774,663043838,102251828,115536937,197408229,757357597,202930175,290911613,710059845,122425043,211265323,561815961,344621056,595793932,117932685,825405999,142600046,525208459,111566458,121659577,105.885,107.308,101.285,105.167,114.516,117.37,103.08,106.096,106.453,101.583
3,2014,4,0.954797382163359,2.04485389287886,11.6125000191496,17.5495658452081,49.3469967572344,91.3520679245604,108.177326652719,147.356305267768,325108389,935169145,123033382,110466031,125673509,132699445,371727747,167407156,312688204,675912639,984276626,100932989,200687899,735710672,215379842,282374957,742671945,111123103,218150367,548235516,354969936,587095158,124245508,829519906,147877931,523399237,10894836,118497051,103.133,100.71,97.4,103.903,100.708,106.543,105.138,103.606,103.829,96.3
4,2014,5,2.48494117769224,22.2330032276086,59.9841441204084,134.375286522207,174.540865341161,196.509109324597,250.971477546314,353.532545025651,267626474,754664357,134515937,12154244,129734967,131618094,366221406,166446238,311158306,700194177,104642347,108895145,190204766,73216809,205418979,301020742,727233884,107559583,211949063,54856123,360450365,59077053,124993379,831266876,150703515,52391317,109321638,119082935,103.643,101.511,106.591,103.056,95.6,103.126,105.888,103.961,103.279,99.8
5,2014,6,50.7488889098947,105.865746813935,116.844043571677,186.488790822584,273.414001769512,360.173443966723,367.154828829159,419.304741753472,217389443,735596577,130271591,117142614,131289769,123463573,336067829,156715856,27465238,66234114,100957296,952117255,188680054,665900054,196713616,295141075,697455329,9886571,212906615,537632625,362488107,587681844,124931706,838620488,150857263,526232015,106330056,115823977,100.806,96.1,103.228,96.6,89.5,94.7,105.88,101.116,100.508,94.6
6,2014,7,7.56681699338399,31.8215422604668,65.903741786944,112.247054225715,202.997370889699,346.937353783465,349.478621274392,416.007106574007,183620268,701969804,125499433,112358596,131408368,125185729,334275662,147487294,262239965,723867116,103332058,106292327,18716476,701237178,204570764,288559876,712935864,985293893,216170323,552759653,359116002,588439836,12204715,849014254,112196739,526299239,101816967,111306848,96.8,94.7,99.4,98.0,87.5,94.468,98.8,96.8,96.5,96.8
7,2014,8,10.6538758223353,44.577564957854,57.1055704107221,113.3990234375,177.620108060154,210.729295405936,203.740685404119,259.291860496659,149713225,503154226,124960854,110168694,147921602,121321314,307049752,15275811,24901159,687617133,992196646,974451544,190111048,727798823,200186659,319279853,711584777,984676642,219138911,557532119,361140057,587429871,121037421,850834609,147714879,528947307,104709375,11435293,99.5,92.9,99.0,94.9,85.8,94.4,105.31,99.5,99.5,98.7
8,2014,9,16.8632026046709,38.7996266313962,76.0147483812883,121.377813685218,153.784176425013,211.73562480541,250.302833069034,312.636240956703,162451959,46584961,128671152,114068875,14602277,118814413,284362782,155098716,25515183,6407887,99634496,106356718,193157156,6502213,194918078,311376923,659122709,961910888,224262451,549500168,366287326,584208043,120606053,856199113,128918445,533724649,102257298,111961599,97.4,91.9,101.959,93.0,82.2,92.2,101.989,97.2,96.888,94.0
9,2014,10,2.86377778378334,3.27868506738118,9.39196308573158,10.7474883784619,15.2082362773266,44.7946874886117,93.7344629690108,164.0555040325,246063402,658990364,136630734,120179215,164515187,132143102,340178603,166094283,322548927,765629098,102931541,931990492,216543583,749235327,218742629,333038258,775062878,100824382,225515553,590501637,388098255,582859961,12033407,858538617,152382141,537090521,110258124,120212803,104.626,103.402,108.267,103.467,99.0,96.6,107.45,104.851,104.177,101.278
10,2014,11,0.608124184007056,6.09964283835748,15.5461577245053,27.0848682551421,22.1461314493527,12.7303922699586,41.1906930683046,77.6020155445858,284821535,596334395,131972068,115783933,161881351,126440467,325791683,165754994,302058758,744506035,99377227,784687008,201908591,758011175,212645875,333256606,839796895,101820509,23790819,58775287,41555239,595706369,133788632,888684901,152558376,539931126,112488448,122716593,106.805,103.247,104.575,99.0,105.859,97.6,111.436,106.972,107.081,99.1
11,2014,12,0.153764705005668,1.83162338244305,7.19506712115663,10.9086201614188,31.4363977103781,29.180458739717,36.1882330563263,60.5837856102975,378966852,420103713,143347639,127834165,155134749,132450218,323581015,184343439,338399097,756927563,106138814,932053992,197923012,696948531,240082986,339181524,994838717,133523417,235483408,59647649,411630774,614970179,129765707,90250281,110966257,545404443,11561998,127856803,111.279,113.601,113.58,103.708,122.426,128.02,103.887,109.95,110.99,130.296
12,2015,1,0.239366013790463,0.0256168829797247,0.365453019178779,0.0,0.0119217969213741,0.0011702127596165,0.0053313023950521,1.46281654122033,594878874,42008222,132559123,119483671,128569826,124329752,323290514,16303545,273539854,670476551,107798811,109527921,185219418,653714812,191423721,32188768,610329482,111995607,227598795,576257252,387251333,621593654,124689721,894544787,801592066,540632846,105756395,115197672,100.261,104.582,105.04,97.3,110.681,107.379,96.2,100.57,99.6,99.801
13,2015,2,3.48356862365104,4.63670454624218,6.43716442514986,1.28812402974265,1.26876039744607,0.415013299170049,1.48162985590243,16.6554909578936,65035753,505577139,117008689,105079141,118141837,11713379,3207427,160383057,274216855,62824285,997447314,840185717,1690736,632129468,181658434,284359206,620086819,109017483,221039822,550674129,351191193,616264749,112647812,873569227,702363777,541069071,100536751,109715304,95.49,100.066,92.7,91.7,113.814,104.524,90.4,95.607,95.8,96.6
14,2015,3,25.862888923694,5.89064935321448,6.85545300899211,6.0812558064165,6.59302829553105,1.94892287268576,10.0374562028861,61.4007621858779,596765254,806392421,125473789,112903307,124024144,131455717,364350588,171308589,311551238,697782967,10807034,933011894,197714701,716705131,206311211,297407211,741473817,125972354,219823647,589757135,373945026,616481094,115965695,855839885,146276553,542313061,114000261,124196347,108.093,108.59,99.4,102.929,121.431,120.78,105.822,108.41,109.14,103.742
